"title","body","labels"
"[Réservation] Notification de disponibilité","Prévenir l'utilisateur suivant dans la file quand un exemplaire redevient disponible.

**Tâches :**
- [ ] Déclencher un événement au retour d'un livre (lien module Emprunt)
- [ ] Attribuer automatiquement le livre au premier de la file (ou lui laisser un délai pour l'emprunter)
- [ ] Envoyer une notification (email ou notification interne selon choix technique)
- [ ] Tests du scénario complet retour -> notification -> emprunt","module:reservation,backend,feature"
"[Réservation] Tests globaux du module Réservation","Valider le parcours complet de réservation.

**Tâches :**
- [ ] Tests de bout en bout réservation -> file d'attente -> notification -> emprunt
- [ ] Tests des cas d'annulation et de réattribution","module:reservation,tests"
"[Notation] Modèle de données Avis (note + commentaire)","Définir la structure représentant un avis laissé sur un livre.

**Tâches :**
- [ ] Créer l'entité Review (utilisateur, livre, note 1-5, commentaire, date, statut de modération)
- [ ] Créer la migration de la table reviews
- [ ] Créer les DTOs associés
- [ ] Créer le repository JPA","module:notation,backend,feature"
"[Notation] Noter un livre (1 à 5 étoiles)","Permettre à un utilisateur ayant emprunté un livre de le noter.

**Tâches :**
- [ ] Endpoint POST /api/books/{id}/reviews (note obligatoire, 1 à 5)
- [ ] Vérifier qu'un utilisateur ne note qu'une fois par livre (ou autorise la modification)
- [ ] Calculer et exposer la note moyenne d'un livre
- [ ] Tests unitaires et d'intégration","module:notation,backend,feature"
"[Notation] Commenter un livre","Permettre à un utilisateur d'ajouter un commentaire en complément de sa note.

**Tâches :**
- [ ] Étendre l'endpoint de notation pour accepter un commentaire optionnel
- [ ] Endpoint GET /api/books/{id}/reviews (liste paginée des avis)
- [ ] Validation du contenu (longueur, contenu vide interdit)
- [ ] Tests unitaires et d'intégration","module:notation,backend,feature"
"[Notation] Modération des commentaires","Permettre aux bibliothécaires/admins de modérer les avis inappropriés.

**Tâches :**
- [ ] Endpoint GET /api/reviews/pending (avis à modérer, si modération a priori) ou signalés
- [ ] Endpoint DELETE /api/reviews/{id} (suppression par un modérateur)
- [ ] Endpoint PUT /api/reviews/{id}/moderate (validation/rejet)
- [ ] Vérifier les droits d'accès (LIBRARIAN/ADMIN uniquement)
- [ ] Tests unitaires et d'intégration","module:notation,backend,feature"
"[Notation] Tests globaux du module Notation","Valider le parcours complet notation/commentaire/modération.

**Tâches :**
- [ ] Tests de bout en bout note + commentaire + modération
- [ ] Tests des règles d'accès par rôle","module:notation,tests"
"[Dashboard] Dashboard lecteur (USER)","Fournir à l'utilisateur une vue synthétique de son activité.

**Tâches :**
- [ ] Endpoint GET /api/dashboard/user (emprunts en cours, réservations, historique récent, avis laissés)
- [ ] Agréger les données depuis les modules Emprunt, Réservation, Notation
- [ ] Tests unitaires et d'intégration","module:dashboard,backend,feature"
"[Dashboard] Dashboard bibliothécaire (LIBRARIAN)","Fournir au bibliothécaire une vue opérationnelle de la bibliothèque.

**Tâches :**
- [ ] Endpoint GET /api/dashboard/librarian (emprunts en retard, réservations en attente, avis à modérer)
- [ ] Ajouter des indicateurs (nombre de livres empruntés, taux de disponibilité)
- [ ] Tests unitaires et d'intégration","module:dashboard,backend,feature"
"[Dashboard] Dashboard admin (ADMIN)","Fournir à l'administrateur une vue globale de la plateforme.

**Tâches :**
- [ ] Endpoint GET /api/dashboard/admin (statistiques utilisateurs, livres les plus empruntés/notés)
- [ ] Ajouter la gestion des utilisateurs et de leurs rôles depuis le dashboard
- [ ] Tests unitaires et d'intégration","module:dashboard,backend,feature"
"[Dashboard] Tests globaux du module Dashboards","Valider la cohérence des données agrégées sur les 3 dashboards.

**Tâches :**
- [ ] Tests de bout en bout pour chaque rôle
- [ ] Vérifier les temps de réponse sur les agrégations","module:dashboard,tests"
"[Global] Revue finale et documentation API","Finaliser le projet avant livraison de la version API.

**Tâches :**
- [ ] Relire et compléter la documentation Swagger de tous les endpoints
- [ ] Mettre à jour le README (installation, lancement, variables d'environnement)
- [ ] Vérifier la couverture de tests globale
- [ ] Nettoyer le code (linting, suppression du code mort)","documentation,backend"
